pertanyaan,jawaban
"Apa kepanjangan dari ATM?","Automated Teller Machine"
"Siapa penemu telepon?","Alexander Graham Bell"
"Hewan apa yang bisa berubah warna?","Bunglon"
"Planet terdekat dari Matahari?","Merkurius"
"Apa benda yang naik tapi tidak pernah turun?","Umur"
"Ikan apa yang bisa nyanyi?","Ikan Band"
"Apa warna pelangi ketiga dari atas?","Kuning"
"Siapa pencipta Facebook?","Mark Zuckerberg"
"Alat musik dengan senar disebut?","Gitar"
"Berapa sisi pada segitiga?","3"
"Apa lawan kata 'panas'?","Dingin"
"Berapa kaki laba-laba?","8"
"Apa kepanjangan dari USB?","Universal Serial Bus"
"Hewan apa yang hidup di dua alam?","Katak"
"Siapa dewa petir dalam mitologi Yunani?","Zeus"
"Buah apa yang bisa dipakai buat telepon?","Pisang"
"Apa benda yang bisa dilihat tapi tak bisa dipegang?","Bayangan"
"Alat untuk melihat bintang?","Teleskop"
"Apa nama planet biru?","Bumi"
"Siapa penulis lagu 'Imagine'?","John Lennon"
"Siapa yang menemukan penicillin?","Alexander Fleming"
"Apa nama alat untuk memotret?","Kamera"
"Apa yang bisa terbang tanpa sayap dan menangis tanpa mata?","Awan dan hujan"
"apa itu teknologi?","teknologi adalah penerapan ilmu pengetahuan untuk mempermudah pekerjaan manusia"
"apa kepanjangan dari AI?","AI adalah singkatan dari Artificial Intelligence atau kecerdasan buatan"
"siapa penemu komputer pertama?","Charles Babbage dianggap sebagai penemu komputer pertama"
"apa fungsi AI?","AI berfungsi untuk meniru kecerdasan manusia dalam memproses data dan mengambil keputusan"
"apa itu robot?","robot adalah mesin yang dapat melakukan tugas secara otomatis dengan atau tanpa kendali manusia"
"apa itu data?","data adalah kumpulan fakta atau informasi yang bisa diolah menjadi pengetahuan"
"apa itu database?","database adalah tempat penyimpanan data yang terorganisir agar mudah diakses dan dikelola"
"apa itu coding?","coding adalah proses menulis instruksi menggunakan bahasa pemrograman"
"apa itu bahasa pemrograman?","bahasa pemrograman adalah bahasa khusus yang digunakan untuk memberi perintah kepada komputer"
"contoh bahasa pemrograman?","contohnya Python, Java, C++, JavaScript, dan Go"
"apa itu Python?","Python adalah bahasa pemrograman tingkat tinggi yang populer dan mudah dipelajari"
"apa itu JavaScript?","JavaScript adalah bahasa pemrograman yang sering digunakan untuk membuat website interaktif"
"apa itu algoritma?","algoritma adalah langkah-langkah logis untuk menyelesaikan suatu masalah"
"apa itu machine learning?","machine learning adalah cabang AI yang membuat sistem bisa belajar dari data tanpa diprogram secara eksplisit"
"apa itu deep learning?","deep learning adalah bagian dari machine learning yang menggunakan jaringan saraf tiruan dengan banyak lapisan"
"apa itu neural network?","neural network adalah sistem komputasi yang meniru cara kerja otak manusia"
"apa itu data training?","data training adalah data yang digunakan untuk melatih model AI agar dapat mengenali pola"
"apa itu data testing?","data testing adalah data yang digunakan untuk menguji seberapa baik model AI yang sudah dilatih"
"apa itu chatbot?","chatbot adalah program komputer yang dapat berinteraksi dengan manusia melalui teks atau suara"
"contoh chatbot terkenal?","contohnya ChatGPT, Google Bard, dan Gemini"
"apa itu ChatGPT?","ChatGPT adalah model AI percakapan buatan OpenAI yang dapat menjawab berbagai pertanyaan"
"apa itu OpenAI?","OpenAI adalah perusahaan riset kecerdasan buatan yang menciptakan ChatGPT dan GPT-5"
"apa itu GPT?","GPT adalah singkatan dari Generative Pre-trained Transformer, model bahasa AI dari OpenAI"
"versi GPT terbaru apa?","versi terbaru saat ini adalah GPT-5"
"apa itu dataset?","dataset adalah kumpulan data yang digunakan untuk melatih atau menguji model AI"
"apa itu big data?","big data adalah kumpulan data berukuran sangat besar dan kompleks yang sulit dikelola dengan cara biasa"
"apa itu cloud computing?","cloud computing adalah teknologi yang memungkinkan penyimpanan dan pengolahan data melalui internet"
"apa itu internet of things?","internet of things adalah konsep menghubungkan perangkat fisik ke internet agar bisa saling berkomunikasi"
"apa itu GPU?","GPU adalah singkatan dari Graphics Processing Unit, digunakan untuk pemrosesan grafis dan AI"
"apa bedanya CPU dan GPU?","CPU untuk tugas umum, GPU untuk pemrosesan paralel dan grafis"
"apa itu RAM?","RAM adalah memori sementara tempat komputer menyimpan data saat digunakan"
"apa itu ROM?","ROM adalah memori permanen yang menyimpan data sistem dan tidak bisa diubah dengan mudah"
"apa itu server?","server adalah komputer yang menyediakan layanan atau data ke komputer lain di jaringan"
"apa itu client?","client adalah perangkat yang meminta layanan dari server"
"apa itu jaringan komputer?","jaringan komputer adalah sistem yang menghubungkan beberapa komputer untuk berbagi data"
"apa itu IP address?","IP address adalah alamat unik yang diberikan ke setiap perangkat dalam jaringan"
"apa itu DNS?","DNS adalah sistem yang mengubah nama domain menjadi alamat IP"
"apa itu domain?","domain adalah nama unik untuk mengidentifikasi situs web di internet"
"apa itu website?","website adalah kumpulan halaman digital yang bisa diakses melalui internet"
"apa itu browser?","browser adalah aplikasi untuk menjelajahi internet, contohnya Chrome dan Firefox"
"apa itu sistem operasi?","sistem operasi adalah perangkat lunak yang mengatur kerja perangkat keras dan aplikasi"
"contoh sistem operasi?","contohnya Windows, Linux, macOS, Android, dan iOS"
"apa itu Linux?","Linux adalah sistem operasi open source yang sering digunakan di server dan pemrograman"
"apa itu open source?","open source adalah software yang kode sumbernya bisa dilihat dan dimodifikasi oleh siapa saja"
"apa itu closed source?","closed source adalah software yang kode sumbernya tidak dibuka untuk umum"
"apa itu hacker?","hacker adalah seseorang yang ahli dalam sistem komputer dan jaringan"
"apa itu ethical hacking?","ethical hacking adalah kegiatan menguji keamanan sistem dengan izin untuk menemukan celah"
"apa itu cybersecurity?","cybersecurity adalah bidang yang melindungi sistem komputer dari serangan digital"
"apa itu antivirus?","antivirus adalah program untuk mendeteksi dan menghapus malware dari komputer"
"apa itu malware?","malware adalah perangkat lunak berbahaya yang dapat merusak sistem komputer"
"apa itu virus komputer?","virus komputer adalah program jahat yang menyebar dan merusak data"
"apa itu ransomware?","ransomware adalah malware yang mengunci data dan meminta tebusan untuk membukanya"
"apa itu phishing?","phishing adalah teknik penipuan untuk mencuri data pribadi melalui pesan palsu"
"apa itu firewall?","firewall adalah sistem keamanan untuk memfilter lalu lintas jaringan"
"apa itu cloud storage?","cloud storage adalah layanan penyimpanan data di internet seperti Google Drive atau Dropbox"
"apa itu AI generatif?","AI generatif adalah jenis AI yang mampu membuat konten baru seperti teks, gambar, atau musik"
"apa itu prompt?","prompt adalah teks perintah yang diberikan ke AI untuk menghasilkan jawaban"
"apa itu token dalam AI?","token adalah potongan kecil dari teks yang digunakan AI untuk memahami konteks"
"apa itu model bahasa?","model bahasa adalah sistem AI yang dirancang untuk memahami dan menghasilkan teks manusia"
"apa itu natural language processing?","natural language processing adalah bidang AI yang memproses bahasa manusia"
"apa itu voice recognition?","voice recognition adalah teknologi untuk mengenali dan memahami suara manusia"
"apa itu computer vision?","computer vision adalah kemampuan komputer untuk mengenali dan memahami gambar atau video"
"apa itu autonomous car?","autonomous car adalah mobil yang bisa berjalan sendiri menggunakan sensor dan AI"
"apa itu drone AI?","drone AI adalah pesawat tanpa awak yang dikendalikan oleh kecerdasan buatan"
"apa itu robotika?","robotika adalah cabang ilmu yang mempelajari desain dan pembuatan robot"
"apa itu sensor?","sensor adalah alat yang mendeteksi perubahan lingkungan seperti suhu atau gerakan"
"apa itu microcontroller?","microcontroller adalah chip kecil yang digunakan untuk mengontrol perangkat elektronik"
"apa itu Arduino?","Arduino adalah papan mikrokontroler open source untuk proyek elektronik"
"apa itu Raspberry Pi?","Raspberry Pi adalah komputer mini yang bisa digunakan untuk eksperimen teknologi"
"apa itu API?","API adalah singkatan dari Application Programming Interface, cara aplikasi saling berkomunikasi"
"apa itu UI?","UI adalah singkatan dari User Interface, tampilan yang dilihat pengguna di aplikasi"
"apa itu UX?","UX adalah singkatan dari User Experience, pengalaman pengguna saat memakai aplikasi"
"apa itu database SQL?","SQL adalah bahasa untuk mengelola data di database relasional"
"apa itu NoSQL?","NoSQL adalah database non-relasional yang fleksibel untuk data besar"
"apa itu JSON?","JSON adalah format data ringan untuk pertukaran informasi"
"apa itu XML?","XML adalah format data yang digunakan untuk menyimpan dan mentransfer informasi"
"apa itu enkripsi?","enkripsi adalah proses mengubah data agar tidak bisa dibaca tanpa kunci"
"apa itu blockchain?","blockchain adalah teknologi penyimpanan data terdesentralisasi yang aman dan transparan"
"apa itu cryptocurrency?","cryptocurrency adalah mata uang digital berbasis blockchain"
"contoh cryptocurrency?","contohnya Bitcoin, Ethereum, dan Solana"
"apa itu bitcoin?","bitcoin adalah mata uang digital pertama di dunia yang berbasis blockchain"
"apa itu metaverse?","metaverse adalah dunia virtual tempat pengguna bisa berinteraksi melalui avatar"
"apa itu VR?","VR atau Virtual Reality adalah teknologi yang membawa pengguna ke dunia digital 3D"
"apa itu AR?","AR atau Augmented Reality adalah teknologi yang menambahkan elemen digital ke dunia nyata"
"apa itu mixed reality?","mixed reality menggabungkan dunia nyata dan virtual secara interaktif"
"apa itu quantum computing?","quantum computing adalah jenis komputasi berbasis prinsip fisika kuantum"
"apa itu 5G?","5G adalah generasi kelima jaringan seluler dengan kecepatan tinggi"
"apa itu edge computing?","edge computing adalah pemrosesan data di dekat sumbernya untuk mengurangi latensi"
"apa itu data mining?","data mining adalah proses menemukan pola dalam kumpulan data besar"
"apa itu data analyst?","data analyst adalah orang yang menganalisis data untuk menghasilkan wawasan"
"apa itu data scientist?","data scientist adalah ahli yang menggabungkan statistik, pemrograman, dan AI untuk analisis data"
"apa itu chatbot cerdas?","chatbot cerdas adalah chatbot yang menggunakan AI untuk memahami konteks percakapan"
"apa itu speech to text?","speech to text adalah teknologi yang mengubah ucapan menjadi teks"
"apa itu text to speech?","text to speech adalah teknologi yang mengubah teks menjadi suara"
"apa itu cloud AI?","cloud AI adalah layanan AI yang berjalan di server awan"
"apa itu smart home?","smart home adalah rumah yang dilengkapi perangkat otomatis berbasis AI dan IoT"
"apa itu smart city?","smart city adalah kota yang menggunakan teknologi untuk meningkatkan efisiensi dan kenyamanan warga"
"apa itu energy AI?","energy AI adalah penerapan AI untuk menghemat dan mengelola energi"
"apa itu computer science?","computer science adalah ilmu yang mempelajari teori dan penerapan komputer"
"apa itu software engineer?","software engineer adalah orang yang merancang dan membuat perangkat lunak"
"apa itu hardware engineer?","hardware engineer adalah orang yang merancang dan membangun komponen fisik komputer"
"apa itu cloud engineer?","cloud engineer adalah orang yang mengelola sistem dan layanan berbasis cloud"
"apa itu data engineer?","data engineer adalah orang yang membangun sistem untuk menyimpan dan memproses data besar"
"apa itu AI engineer?","AI engineer adalah orang yang membuat dan mengembangkan sistem kecerdasan buatan"
"apa itu automation?","automation adalah proses menggunakan mesin atau sistem untuk menjalankan tugas tanpa manusia"
"apa itu digital twin?","digital twin adalah salinan virtual dari objek atau sistem dunia nyata"
"apa itu GPU AI?","GPU AI adalah GPU yang dioptimalkan untuk mempercepat pelatihan model AI"
"apa itu token limit?","token limit adalah batas jumlah teks yang bisa diproses AI dalam satu sesi"
"apa itu model kecil AI?","model kecil AI adalah versi ringan dari model besar yang lebih cepat namun kurang kompleks"
"apa itu fine-tuning?","fine-tuning adalah melatih kembali model AI dengan data khusus agar sesuai kebutuhan"
"apa itu reinforcement learning?","reinforcement learning adalah metode AI yang belajar dari hadiah dan hukuman"
"apa itu supervised learning?","supervised learning menggunakan data berlabel untuk melatih AI"
"apa itu unsupervised learning?","unsupervised learning mencari pola dari data tanpa label"
"apa itu semi-supervised learning?","semi-supervised learning menggabungkan data berlabel dan tidak berlabel"
"apa itu bias dalam AI?","bias adalah ketidakseimbangan dalam data yang membuat hasil AI tidak adil"
"apa itu AI ethics?","AI ethics adalah prinsip moral dalam pengembangan dan penggunaan AI"
"apa itu autonomous system?","autonomous system adalah sistem yang bisa beroperasi tanpa kendali manusia langsung"
"apa itu AI emotion?","AI emotion adalah kemampuan AI mengenali dan meniru emosi manusia"
"apa itu AGI?","AGI atau Artificial General Intelligence adalah AI yang punya kecerdasan setara manusia"
"apa itu ASI?","ASI atau Artificial Super Intelligence adalah AI yang jauh lebih cerdas dari manusia"
"apa itu dataset image?","dataset image adalah kumpulan gambar untuk melatih model pengenalan visual"
"apa itu text dataset?","text dataset adalah kumpulan teks untuk melatih model bahasa"
"apa itu model vision?","model vision adalah AI yang memproses gambar atau video"
"apa itu multimodal AI?","multimodal AI bisa memproses berbagai jenis data seperti teks, gambar, dan suara"
"apa itu tokenization?","tokenization adalah proses memecah teks menjadi bagian kecil untuk diproses AI"
"apa itu LLM?","LLM atau Large Language Model adalah model AI dengan miliaran parameter untuk memahami bahasa"
"apa itu parameter dalam AI?","parameter adalah nilai-nilai yang menentukan cara AI memahami dan membuat keputusan"
"apa itu pre-training?","pre-training adalah tahap awal pelatihan model AI dengan data umum"
"apa itu inference?","inference adalah proses AI menghasilkan jawaban dari data baru"
"apa itu model base?","model base adalah versi dasar dari model AI sebelum disesuaikan"
"apa itu token API?","token API adalah kunci akses untuk menggunakan layanan AI secara aman"
"apa itu latency?","latency adalah waktu tunda antara input dan respons sistem"
"apa itu AI model deployment?","AI model deployment adalah proses menempatkan model ke sistem nyata agar bisa digunakan"
"apa itu neural chip?","neural chip adalah prosesor khusus untuk mempercepat komputasi AI"
"apa itu AI edge device?","AI edge device adalah perangkat AI yang memproses data langsung tanpa server"
"apa itu dataset imbalance?","dataset imbalance adalah ketidakseimbangan jumlah data antar kelas"
"apa itu AI hallucination?","AI hallucination adalah kondisi saat AI menghasilkan jawaban salah tapi meyakinkan"
"apa itu text embedding?","text embedding adalah representasi numerik dari kata untuk pemrosesan AI"
"apa itu transformer model?","transformer model adalah arsitektur AI yang memahami konteks dalam teks panjang"
"apa itu token context window?","context window adalah jumlah token yang bisa dipahami AI dalam satu waktu"
"apa itu data preprocessing?","data preprocessing adalah langkah menyiapkan data agar bisa dipakai AI"
"apa itu feature extraction?","feature extraction adalah proses mengambil fitur penting dari data"
"apa itu AI-powered app?","AI-powered app adalah aplikasi yang memakai kecerdasan buatan di dalamnya"
"apa itu real-time AI?","real-time AI adalah AI yang memberi hasil secara langsung tanpa jeda lama"
"apa itu virtual assistant?","virtual assistant adalah AI yang membantu pengguna melakukan tugas digital"
"apa itu smart robot?","smart robot adalah robot dengan kemampuan berpikir dan beradaptasi menggunakan AI"
"apa itu AI chip?","AI chip adalah prosesor yang dioptimalkan untuk komputasi kecerdasan buatan"
"apa itu autoML?","autoML adalah sistem otomatis yang menyederhanakan proses membuat model AI"
"apa itu federated learning?","federated learning adalah metode melatih AI tanpa memindahkan data ke server pusat"
"apa itu AI cloud service?","AI cloud service adalah layanan AI yang berjalan di platform cloud seperti Google AI atau Azure"
"apa itu AI assistant?","AI assistant adalah asisten digital yang dibekali kecerdasan buatan untuk membantu pengguna"
"apa itu FX Intelligence?","FX Intelligence adalah AI yang dirancang untuk berpikir, berinteraksi, dan memberi solusi seperti manusia"
"siapa kamu?","aku adalah FX Intelligence, asisten virtual cerdas yang diciptakan untuk membantu pengembangan teknologi AI"
"apa makanan nasional Indonesia?","Nasi Goreng"
"apa makanan nasional Malaysia?","Nasi Lemak"
"apa makanan nasional Singapura?","Hainanese Chicken Rice"
"apa makanan nasional Thailand?","Pad Thai"
"apa makanan nasional Vietnam?","Pho"
"apa makanan nasional Filipina?","Adobo"
"apa makanan nasional Jepang?","Sushi"
"apa makanan nasional Korea Selatan?","Kimchi"
"apa makanan nasional Tiongkok?","Peking Duck"
"apa makanan nasional India?","Biryani"
"apa makanan nasional Pakistan?","Nihari"
"apa makanan nasional Bangladesh?","Hilsa Fish Curry"
"apa makanan nasional Nepal?","Dal Bhat"
"apa makanan nasional Sri Lanka?","Rice and Curry"
"apa makanan nasional Myanmar?","Mohinga"
"apa makanan nasional Laos?","Larb"
"apa makanan nasional Kamboja?","Amok"
"apa makanan nasional Brunei?","Ambuyat"
"apa makanan nasional Timor Leste?","Ikan Pepes"
"apa makanan nasional Australia?","Meat Pie"
"apa makanan nasional Selandia Baru?","Pavlova"
"apa makanan nasional Papua Nugini?","Mumu"
"apa makanan nasional Fiji?","Kokoda"
"apa makanan nasional Tonga?","Lu Pulu"
"apa makanan nasional Samoa?","Palusami"
"apa makanan nasional Amerika Serikat?","Hamburger"
"apa makanan nasional Kanada?","Poutine"
"apa makanan nasional Meksiko?","Tacos"
"apa makanan nasional Brasil?","Feijoada"
"apa makanan nasional Argentina?","Asado"
"apa makanan nasional Chile?","Empanada"
"apa makanan nasional Peru?","Ceviche"
"apa makanan nasional Kolombia?","Bandeja Paisa"
"apa makanan nasional Venezuela?","Arepa"
"apa makanan nasional Ekuador?","Encebollado"
"apa makanan nasional Bolivia?","Salteña"
"apa makanan nasional Paraguay?","Sopa Paraguaya"
"apa makanan nasional Uruguay?","Chivito"
"apa makanan nasional Kuba?","Ropa Vieja"
"apa makanan nasional Jamaika?","Jerk Chicken"
"apa makanan nasional Haiti?","Griot"
"apa makanan nasional Republik Dominika?","La Bandera"
"apa makanan nasional Puerto Riko?","Mofongo"
"apa makanan nasional Guatemala?","Pepian"
"apa makanan nasional Honduras?","Baleada"
"apa makanan nasional El Salvador?","Pupusa"
"apa makanan nasional Nikaragua?","Gallo Pinto"
"apa makanan nasional Kosta Rika?","Casado"
"apa makanan nasional Panama?","Sancocho"
"apa makanan nasional Inggris?","Fish and Chips"
"apa makanan nasional Skotlandia?","Haggis"
"apa makanan nasional Irlandia?","Irish Stew"
"apa makanan nasional Wales?","Cawl"
"apa makanan nasional Prancis?","Coq au Vin"
"apa makanan nasional Jerman?","Sauerbraten"
"apa makanan nasional Belanda?","Stamppot"
"apa makanan nasional Belgia?","Moules-frites"
"apa makanan nasional Swiss?","Fondue"
"apa makanan nasional Austria?","Wiener Schnitzel"
"apa makanan nasional Italia?","Pasta"
"apa makanan nasional Spanyol?","Paella"
"apa makanan nasional Portugal?","Bacalhau"
"apa makanan nasional Yunani?","Moussaka"
"apa makanan nasional Turki?","Döner Kebab"
"apa makanan nasional Rusia?","Borscht"
"apa makanan nasional Polandia?","Pierogi"
"apa makanan nasional Hungaria?","Goulash"
"apa makanan nasional Rumania?","Sarmale"
"apa makanan nasional Ceko?","Vepřo knedlo zelo"
"apa makanan nasional Slovakia?","Bryndzové halušky"
"apa makanan nasional Ukraina?","Chicken Kiev"
"apa makanan nasional Belarus?","Draniki"
"apa makanan nasional Finlandia?","Karjalanpiirakka"
"apa makanan nasional Swedia?","Köttbullar"
"apa makanan nasional Norwegia?","Fårikål"
"apa makanan nasional Denmark?","Smørrebrød"
"apa makanan nasional Islandia?","Hákarl"
"apa makanan nasional Estonia?","Verivorst"
"apa makanan nasional Latvia?","Grey Peas with Bacon"
"apa makanan nasional Lithuania?","Cepelinai"
"apa makanan nasional Mesir?","Koshari"
"apa makanan nasional Maroko?","Couscous"
"apa makanan nasional Tunisia?","Brik"
"apa makanan nasional Aljazair?","Couscous"
"apa makanan nasional Libya?","Bazin"
"apa makanan nasional Sudan?","Ful Medames"
"apa makanan nasional Ethiopia?","Injera"
"apa makanan nasional Kenya?","Ugali"
"apa makanan nasional Tanzania?","Nyama Choma"
"apa makanan nasional Uganda?","Matoke"
"apa makanan nasional Rwanda?","Isombe"
"apa makanan nasional Nigeria?","Jollof Rice"
"apa makanan nasional Ghana?","Fufu"
"apa makanan nasional Senegal?","Thieboudienne"
"apa makanan nasional Afrika Selatan?","Bobotie"
"apa makanan nasional Madagaskar?","Romazava"
"apa makanan nasional Mauritius?","Dholl Puri"
"apa makanan nasional Seychelles?","Octopus Curry"
"apa makanan nasional Arab Saudi?","Kabsa"
"apa makanan nasional Uni Emirat Arab?","Al Machboos"
"apa makanan nasional Qatar?","Machboos"
"apa makanan nasional Kuwait?","Machboos"
"apa makanan nasional Oman?","Shuwa"
"apa makanan nasional Yaman?","Saltah"
"apa makanan nasional Iran?","Chelo Kebab"
"apa makanan nasional Irak?","Masgouf"
"apa makanan nasional Suriah?","Kibbeh"
"apa makanan nasional Lebanon?","Tabbouleh"
"apa makanan nasional Yordania?","Mansaf"
"apa makanan nasional Israel?","Falafel"
"apa makanan nasional Palestina?","Musakhan"
"apa makanan nasional Armenia?","Khorovats"
"apa makanan nasional Georgia?","Khachapuri"
"apa makanan nasional Azerbaijan?","Plov"
"apa makanan nasional Kazakhstan?","Beshbarmak"
"apa makanan nasional Uzbekistan?","Plov"
"apa makanan nasional Turkmenistan?","Ichlekli"
"apa makanan nasional Kirgistan?","Beshbarmak"
"apa makanan nasional Tajikistan?","Qurutob"
"apa makanan nasional Mongolia?","Buuz"
"apa makanan nasional Afganistan?","Kabuli Pulao"
"apa makanan nasional Bhutan?","Ema Datshi"
"apa makanan nasional Maladewa?","Mas Huni"
"apa makanan nasional Kamerun?","Ndolé"
"apa makanan nasional Angola?","Moamba de Galinha"
"apa makanan nasional Zimbabwe?","Sadza"
"apa makanan nasional Zambia?","Nshima"
"apa makanan nasional Botswana?","Seswaa"
"apa makanan nasional Namibia?","Kapana"
"apa makanan nasional Mozambik?","Piri Piri Chicken"
"apa makanan nasional Lesotho?","Motoho"
"apa makanan nasional Malawi?","Nsima"
"apa makanan nasional Gambia?","Domoda"
"apa makanan nasional Guinea?","Riz Sauce Arachide"
"apa makanan nasional Sierra Leone?","Cassava Leaves Stew"
"apa makanan nasional Liberia?","Dumboy"
"apa makanan nasional Togo?","Fufu"
"apa makanan nasional Benin?","Amiwo"
"apa makanan nasional Chad?","Daraba"
"apa makanan nasional Mali?","Tiguadege Na"
"apa makanan nasional Burkina Faso?","Riz Gras"
"apa makanan nasional Niger?","Dambou"
"apa makanan nasional Mauritania?","Thieboudienne"
"apa makanan nasional Sudan Selatan?","Asida"
"apa makanan nasional Somalia?","Bariis Iskukaris"
"apa makanan nasional Eritrea?","Zigni"
"apa makanan nasional Djibouti?","Skoudehkaris"
"apa makanan nasional Komoro?","Langouste à la Vanille"
"apa makanan nasional Kepulauan Solomon?","Poi"
"apa makanan nasional Vanuatu?","Lap Lap"
"apa makanan nasional Kiribati?","Palusami"
"apa makanan nasional Tuvalu?","Pulaka"
"apa makanan nasional Nauru?","Coconut Fish"
"apa makanan nasional Palau?","Tinola"
"apa makanan nasional Micronesia?","Pohnpei Breadfruit"
"apa makanan nasional Marshall Islands?","Barramundi Cod"
"apa makanan nasional Cook Islands?","Ika Mata"
"apa itu rpl?","RPL adalah singkatan dari Rekayasa Perangkat Lunak, cabang ilmu komputer yang mempelajari pembuatan dan pengelolaan perangkat lunak."
"apa kepanjangan rpl?","Rekayasa Perangkat Lunak."
"apa tujuan dari rpl?","Untuk menghasilkan perangkat lunak yang berkualitas, efisien, dan mudah digunakan."
"apa yang dipelajari di jurusan rpl?","Pemrograman, basis data, analisis sistem, desain UI/UX, dan manajemen proyek."
"apa contoh bahasa pemrograman yang digunakan di rpl?","Contohnya Python, Java, C++, dan PHP."
"apa itu algoritma?","Algoritma adalah langkah-langkah logis untuk menyelesaikan suatu masalah."
"apa fungsi flowchart?","Untuk memvisualisasikan alur logika program."
"apa itu pseudocode?","Pseudocode adalah kode semu yang digunakan untuk menulis algoritma sebelum diubah ke bahasa pemrograman."
"apa perbedaan software dan hardware?","Software adalah perangkat lunak, sedangkan hardware adalah perangkat keras."
"apa itu database?","Database adalah tempat penyimpanan data yang terorganisir."
"apa fungsi database?","Untuk menyimpan dan mengelola data secara efisien."
"apa itu DBMS?","DBMS adalah sistem yang digunakan untuk mengelola database, seperti MySQL atau PostgreSQL."
"apa itu sistem operasi?","Sistem operasi adalah perangkat lunak yang mengatur kerja perangkat keras dan aplikasi."
"contoh sistem operasi?","Windows, Linux, macOS, Android."
"apa itu debugging?","Proses mencari dan memperbaiki kesalahan pada program."
"apa itu bug?","Bug adalah kesalahan atau kekeliruan dalam kode program."
"apa itu coding?","Proses menulis kode menggunakan bahasa pemrograman."
